passage_id,answerability_score,clarity_score,relevance_score,judged_difficulty,judged_question_type
6ee08a73098c0dfbf0ba09711c20b6b3,10,7,10,Hard,readingShortAnswer
6ee08a73098c0dfbf0ba09711c20b6b3,10,7,10,Hard,readingShortAnswer
6ee08a73098c0dfbf0ba09711c20b6b3,10,7,10,Hard,readingShortAnswer
6ee08a73098c0dfbf0ba09711c20b6b3,10,7,10,Hard,readingShortAnswer
6ee08a73098c0dfbf0ba09711c20b6b3,10,7,10,Hard,readingShortAnswer
6ee08a73098c0dfbf0ba09711c20b6b3,10,7,10,Hard,readingShortAnswer
6ee08a73098c0dfbf0ba09711c20b6b3,10,7,10,Hard,readingShortAnswer
6ee08a73098c0dfbf0ba09711c20b6b3,10,7,10,Hard,readingShortAnswer
6ee08a73098c0dfbf0ba09711c20b6b3,10,7,10,Hard,readingShortAnswer
6ee08a73098c0dfbf0ba09711c20b6b3,10,8,10,Hard,readingSentenceCompletion
48b824b8783cac2c1edbedfe4735d2cd,10,8,8,Medium,readingMultipleChoice
48b824b8783cac2c1edbedfe4735d2cd,10,8,8,Medium,readingMultipleChoice
48b824b8783cac2c1edbedfe4735d2cd,10,8,8,Medium,readingMultipleChoice
48b824b8783cac2c1edbedfe4735d2cd,10,8,8,Medium,readingMultipleChoice
48b824b8783cac2c1edbedfe4735d2cd,10,8,8,Medium,readingMultipleChoice
48b824b8783cac2c1edbedfe4735d2cd,10,8,8,Medium,readingMultipleChoice
48b824b8783cac2c1edbedfe4735d2cd,10,8,8,Medium,readingMultipleChoice
48b824b8783cac2c1edbedfe4735d2cd,10,8,8,Medium,readingMultipleChoice
48b824b8783cac2c1edbedfe4735d2cd,10,8,9,Medium,readingSentenceCompletion
a3036c57e34251a7a953954435e39808,4,8,3,Hard,readingShortAnswer
a3036c57e34251a7a953954435e39808,10,7,9,Medium,readingSentenceCompletion
fafe25a27221e2da054a72ca96cb5d10,10,8,9,Medium,readingSentenceCompletion
fafe25a27221e2da054a72ca96cb5d10,10,8,10,Easy,readingTFNG
fafe25a27221e2da054a72ca96cb5d10,10,8,10,Easy,readingTFNG
fafe25a27221e2da054a72ca96cb5d10,10,8,10,Medium,readingTFNG
fafe25a27221e2da054a72ca96cb5d10,10,8,10,Easy,readingTFNG
371abfb953e18c4a4d57fecde3b56543,9,8,8,Hard,readingShortAnswer
371abfb953e18c4a4d57fecde3b56543,9,8,8,Hard,readingShortAnswer
371abfb953e18c4a4d57fecde3b56543,9,8,8,Hard,readingShortAnswer
371abfb953e18c4a4d57fecde3b56543,9,8,8,Hard,readingShortAnswer
371abfb953e18c4a4d57fecde3b56543,10,7,10,Medium,readingSentenceCompletion
371abfb953e18c4a4d57fecde3b56543,9,8,8,Hard,readingShortAnswer
371abfb953e18c4a4d57fecde3b56543,9,8,8,Hard,readingShortAnswer
371abfb953e18c4a4d57fecde3b56543,9,8,8,Hard,readingShortAnswer
2ad98a138d90fcc1c95741fc43593a0b,10,8,9,Medium,readingSentenceCompletion
2ad98a138d90fcc1c95741fc43593a0b,10,8,10,Easy,readingTFNG
2ad98a138d90fcc1c95741fc43593a0b,10,8,10,Easy,readingTFNG
2ad98a138d90fcc1c95741fc43593a0b,10,8,10,Medium,readingTFNG
7b05eb9aa159a31371abef57d8ec35de,10,7,8,Easy,readingMultipleChoice
7b05eb9aa159a31371abef57d8ec35de,10,7,8,Easy,readingMultipleChoice
7b05eb9aa159a31371abef57d8ec35de,10,7,8,Easy,readingMultipleChoice
7b05eb9aa159a31371abef57d8ec35de,10,7,8,Easy,readingMultipleChoice
695b5943bd7346667226bc0d202df0bf,9,7,8,Easy,readingMultipleChoice
695b5943bd7346667226bc0d202df0bf,9,7,8,Easy,readingMultipleChoice
695b5943bd7346667226bc0d202df0bf,9,7,8,Easy,readingMultipleChoice
695b5943bd7346667226bc0d202df0bf,10,8,10,Medium,readingTFNG
695b5943bd7346667226bc0d202df0bf,10,8,10,Medium,readingTFNG
695b5943bd7346667226bc0d202df0bf,10,8,10,Medium,readingTFNG
695b5943bd7346667226bc0d202df0bf,10,8,10,Medium,readingTFNG
695b5943bd7346667226bc0d202df0bf,10,8,10,Medium,readingTFNG
695b5943bd7346667226bc0d202df0bf,10,8,10,Medium,readingTFNG
4332c8e32ed423ca4745a427a637a1c8,10,7,9,Medium,readingSentenceCompletion
4332c8e32ed423ca4745a427a637a1c8,10,8,10,Easy,readingTFNG
4332c8e32ed423ca4745a427a637a1c8,10,8,10,Medium,readingTFNG
4332c8e32ed423ca4745a427a637a1c8,10,8,10,Easy,readingTFNG
4332c8e32ed423ca4745a427a637a1c8,10,8,10,Easy,readingTFNG
4332c8e32ed423ca4745a427a637a1c8,10,8,10,Easy,readingTFNG
